tid,mjd,fid,diffmaglim
ztf,58258.39317130018,2,20.3282
ztf,58261.314351900015,2,19.9832
ztf,58270.338391200174,2,19.8654
ztf,58273.33354170015,2,20.3285
ztf,58276.29412040021,2,20.7118
ztf,58279.27642360004,2,20.3998
ztf,58282.3162153,2,20.2166
ztf,58321.20682869991,1,19.9568
ztf,58324.168553200085,2,19.539
ztf,58324.25228009978,1,19.3192
ztf,58327.16814809991,1,19.586
ztf,58327.27309030015,2,19.2995
ztf,58330.16776619991,1,20.6352
ztf,58343.16381940013,2,20.3465
ztf,58481.55092590023,2,19.7135
ztf,58503.51333330013,2,17.8926
ztf,58506.526157400105,1,18.9085
ztf,58509.49165510014,2,19.0206
ztf,58512.527627300005,2,17.877
ztf,58522.54856480006,2,20.4682
ztf,58526.52497689985,2,19.8621
ztf,58526.5479629999,1,20.0865
ztf,58539.460416700225,1,18.9497
ztf,58539.52243060013,2,15.641
ztf,58543.47806710005,2,19.06
ztf,58547.522766199894,2,20.4787
ztf,58556.504536999855,2,20.1964
ztf,58560.439919000026,2,19.924
ztf,58568.48228010023,2,19.708
ztf,58572.45634259982,2,20.4966
ztf,58575.43780090008,2,20.6443
ztf,58580.4605208002,2,19.8976
ztf,58586.37788189994,2,20.0668
ztf,58589.3372105998,2,18.1398
ztf,58592.37773150019,2,16.5212
ztf,58592.45495369984,1,19.1982
ztf,58605.39890050003,2,20.6346
ztf,58608.339236100204,2,20.254
ztf,58612.42253470002,2,20.7009
ztf,58616.37847220013,2,20.4466
ztf,58619.35614580009,2,16.3634
ztf,58632.33328700019,2,20.5403
ztf,58635.28846060019,2,20.8184
ztf,58638.269536999986,2,20.6962
ztf,58641.29328700015,2,20.8901
ztf,58644.273541700095,2,20.3418
ztf,58647.272696800064,2,20.0219
ztf,58650.27310189977,2,19.5179
ztf,58653.208159700036,2,19.9888
ztf,58657.253055599984,2,20.396
ztf,58663.3034144002,2,20.5453
ztf,58666.2561805998,2,20.7911
ztf,58669.18200229993,2,20.2034
ztf,58672.21207180014,2,20.4659
ztf,58675.244340300094,2,20.0589
ztf,58678.19167819992,2,19.9354
ztf,58681.24997689994,2,19.7981
ztf,58684.16920140013,2,20.337
ztf,58694.17966439994,2,20.5996
ztf,58697.169421299826,2,20.5508
ztf,58700.17496530013,2,20.5242
ztf,58709.25795139978,2,19.6669
ztf,58721.15179400006,1,17.2558
ztf,58724.16615739977,2,20.5343
ztf,58733.211955999956,2,19.7208
ztf,58737.173402800225,2,19.559
ztf,58742.11997690005,2,19.1493
ztf,58742.1438310002,1,16.3722
