tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magpsf_corr_ext,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,sigmagap_corr,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,candid_alert,step_id_corr,phase,parent_candid
ztf,58891.472870400175,1137472870515015008,1,1137472870515,19.431149,1,1137,3.694985,17.760748,,,17.7345,,0.06292105,,,0.0677,,261.6571766,38.2081973,0.93285716,t17_f5_c3,0.9999999,17.7339,0.0865,724120105,False,False,False,,bulk_1.0.0,0.0,1157534600515015004
ztf,58894.53993060021,1140539930515015005,2,1140539930515,20.271175,1,1140,0.4911068,18.016296,17.9717,,18.0653,,0.066018075,0.06320655,0.06336137,0.0532,,261.6571739,38.2082045,0.9557143,t17_f5_c3,0.9999409,18.0637,0.0673,724120205,False,True,False,,bulk_1.0.0,0.0,1157534600515015004
ztf,58894.55747690005,1140557470515015012,1,1140557470515,20.19362,1,1140,3.742261,17.80271,,,17.7944,,0.0620371,,,0.0415,,261.6571803,38.2081849,0.9514286,t17_f5_c3,1.0,17.8056,0.0529,724120105,False,False,False,,bulk_1.0.0,0.0,1157534600515015004
ztf,58898.52512730006,1144525120515015006,2,1144525120515,20.594856,1,1144,0.5240482,18.439516,18.37429,,18.4594,,0.07272938,0.06818782,0.06848879,0.0584,,261.6571897,38.2081844,0.9342857,t17_f5_c3,0.9999763,18.4376,0.0723,724120205,False,True,False,,bulk_1.0.0,0.0,1157534600515015004
ztf,58898.55930559989,1144559300515015012,1,1144559300515,20.356304,1,1144,3.6878989,18.553152,,,18.5268,,0.08066677,,,0.0687,,261.6571761,38.2081988,0.94,t17_f5_c3,1.0,18.5285,0.0875,724120105,False,False,False,,bulk_1.0.0,0.0,1157534600515015004
ztf,58898.564444399904,1144564440515015003,1,1144564440515,19.907475,1,1144,3.7787924,18.556236,,,18.5358,,0.07508872,,,0.1106,,261.6571641,38.2081724,0.93285716,t17_f5_c3,0.99999833,18.5361,0.1417,724120105,False,False,False,,bulk_1.0.0,0.0,1157534600515015004
ztf,58904.525590300094,1150525590515015003,2,1150525590515,20.518625,1,1150,0.5515752,18.894041,18.796392,,18.8459,,0.0882951,0.08014416,0.080700696,0.0859,,261.6571675,38.208186,0.95428574,t17_f5_c3,0.99999726,18.7589,0.1009,724120205,False,True,False,,bulk_1.0.0,0.0,1157534600515015004
ztf,58904.55624999991,1150556250515015002,1,1150556250515,19.93379,1,1150,3.8239067,19.207264,,,19.236,,0.1379606,,,0.156,,261.657164,38.2081598,0.6314286,t17_f5_c3,0.99974304,19.1321,0.1815,724120105,False,False,False,,bulk_1.0.0,0.0,1157534600515015004
ztf,58908.51251159981,1154512510515015003,2,1154512510515,20.536175,1,1154,0.51523,18.778366,18.690197,,18.6469,,0.08150703,0.074658334,0.07514971,0.0725,,261.6571884,38.2081874,0.95,t17_f5_c3,0.99999976,18.6315,0.0907,724120205,False,True,False,,bulk_1.0.0,0.0,1157534600515015004
ztf,58908.51251159981,1154512510515025003,2,1154512510515,20.5362,1,1154,0.51523,18.7784,18.690228,,18.6469,,0.081507,0.074658096,0.07514949,0.0725,,261.6571884,38.2081874,0.95,t17_f5_c3,,18.6315,0.0907,,False,True,False,,bulk_1.0.0,0.0,1182513180515015006
ztf,58908.540381900035,1154540380515015008,1,1154540380515,20.645975,1,1154,3.7461007,19.186152,,,19.1122,,0.110177696,,,0.0887,,261.6571979,38.2081822,0.9242857,t17_f5_c3,0.9999685,19.2355,0.126,724120105,False,False,False,,bulk_1.0.0,0.0,1157534600515015004
ztf,58908.540381900035,1154540380515025008,1,1154540380515,20.646,1,1154,3.7461,19.1862,,,19.1122,,0.110178,,,0.0887,,261.6571979,38.2081822,0.924286,t17_f5_c3,,19.2355,0.126,,False,False,False,,bulk_1.0.0,0.0,1182513180515015006
ztf,58911.51497690007,1157514970515015004,2,1157514970515,20.080633,1,1157,0.60080886,18.677006,18.59641,,18.6537,,0.086424604,0.07985472,0.08024156,0.0817,,261.6572301,38.2081499,0.9071429,t17_f5_c3,0.99996233,18.6853,0.107,724120205,False,True,False,,bulk_1.0.0,0.0,1157534600515015004
ztf,58911.53460650006,1157534600515015004,1,1157534600515,20.378958,1,1157,3.8814495,19.037954,,,19.0172,,0.10547653,,,0.088,,261.6572004,38.2081461,0.88857144,t17_f5_c3,0.9999993,19.0379,0.1139,724120105,False,False,False,,bulk_1.0.0,0.0,1160464950515015008
ztf,58914.46495370008,1160464950515015008,1,1160464950515,20.132828,1,1160,3.7667303,19.01652,,,18.9808,,0.10643659,,,0.1389,,261.6571379,38.2081741,0.92142856,t17_f5_c3,0.9999987,18.9094,0.1665,724120105,False,False,False,,bulk_1.0.0,0.0,1189492250515015004
ztf,58914.53412039997,1160534120515015008,2,1160534120515,20.701786,1,1160,0.5079687,18.692207,18.610518,,18.7077,,0.08226625,0.075886086,0.076303735,0.0679,,261.6572006,38.2081836,0.94857144,t17_f5_c3,0.99999964,18.777,0.0913,724120205,False,True,False,,bulk_1.0.0,0.0,1189492250515015004
ztf,58936.513182899915,1182513180515015006,2,1182513180515,20.54225,1,1182,0.55813456,19.384935,19.235172,,19.2216,,0.11294304,0.09736467,0.098390825,0.1194,,261.6571573,38.2081907,0.9057143,t17_f5_c3,0.9999776,19.1912,0.148,724120205,False,True,False,,bulk_1.0.0,0.0,1199451890515015003
ztf,58943.49225689983,1189492250515015004,2,1189492250515,20.498005,1,1189,0.6347754,19.551298,19.378614,,19.4584,,0.1361578,0.11500477,0.11613665,0.1507,,261.6571327,38.2081779,0.89857143,t17_f5_c3,0.99998987,19.4049,0.1832,724120205,False,True,False,,bulk_1.0.0,0.0,1199451890515015003
ztf,58953.451898099855,1199451890515015003,2,1199451890515,20.42262,1,1199,0.6267412,19.618824,19.435944,,19.8853,,0.14785114,0.12376259,0.12493176,0.2397,,261.6571749,38.2081611,0.87,t17_f5_c3,0.9999999,19.7848,0.2795,724120205,False,True,False,,bulk_1.0.0,0.0,1216433480515015021
