tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magpsf_corr_ext,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,sigmagap_corr,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,candid_alert,step_id_corr,phase,parent_candid
ztf,58975.20255789999,1221202552115015002,2,1221202552115,19.241594,1,1221,0.8238051,16.014713,15.979257,,16.0189,,0.03591837,0.034584217,0.034764335,0.0217,,185.4603248,4.4817097,0.9114286,t17_f5_c3,0.9999987,15.9972,0.027,473120221,False,True,False,,bulk_1.0.0,0.0,1224247882115015000
ztf,58975.2501968001,1221250192115015000,1,1221250192115,19.074215,1,1221,0.8441069,15.398583,15.380273,,15.3612,,0.030442838,0.029890668,0.029933749,0.0126,,185.4603315,4.4817009,0.9085714,t17_f5_c3,0.99999785,15.3426,0.0156,473120121,False,True,False,,bulk_1.0.0,0.0,1224247882115015000
ztf,58978.19204859994,1224192042115015001,1,1224192042115,20.315008,1,1224,0.8323061,14.520429,14.512236,,14.5013,,0.026705664,0.026495067,0.026504895,0.0035,,185.4603258,4.4817088,0.88714284,t17_f5_c3,0.999436,14.4914,0.0039,473120121,False,True,False,,bulk_1.0.0,0.0,1224247882115015000
ztf,58978.24788190005,1224247882115015000,2,1224247882115,20.025267,1,1224,0.7688071,14.640305,14.630188,,14.6331,,0.035590105,0.035245273,0.035260037,0.0044,,185.4603279,4.4817207,0.79714286,t17_f5_c3,0.9947326,14.6261,0.0051,473120221,False,True,False,,bulk_1.0.0,0.0,1241201462115015004
ztf,58981.19927080022,1227199272115015004,1,1227199272115,20.57306,1,1227,0.9125346,14.43923,14.431625,,14.4299,,0.020190723,0.020038594,0.020049794,0.003,,185.4603062,4.4816967,0.82857144,t17_f5_c3,0.9992029,14.4186,0.0032,473120121,False,True,False,,bulk_1.0.0,0.0,1241201462115015004
ztf,58981.24912039982,1227249122115015003,2,1227249122115,20.330978,1,1227,0.8495756,14.448511,14.440026,,14.4593,,0.03288099,0.032613803,0.032625042,0.0033,,185.4603209,4.4817002,0.85142857,t17_f5_c3,0.99995613,14.448,0.0036,473120221,False,True,False,,bulk_1.0.0,0.0,1241201462115015004
ztf,58986.192013899796,1232192012115015004,1,1232192012115,20.76484,1,1232,0.84119856,14.617281,14.608326,,14.5966,,0.023056887,0.02285391,0.022867508,0.0033,,185.4603136,4.4817178,0.8685714,t17_f5_c3,0.9991373,14.5889,0.0035,473120121,False,True,False,,bulk_1.0.0,0.0,1241201462115015004
ztf,58986.25555559993,1232255552115015003,2,1232255552115,20.502012,1,1232,0.79536617,14.547372,14.538082,,14.5405,,0.030114612,0.029843327,0.02985804,0.0034,,185.4603165,4.4817131,0.82714283,t17_f5_c3,0.98754644,14.5332,0.0038,473120221,False,True,False,,bulk_1.0.0,0.0,1241201462115015004
ztf,58992.19321760023,1238193212115015003,1,1238193212115,20.74673,1,1238,0.86577857,14.734636,14.724665,,14.726,,0.019765742,0.019565357,0.019585034,0.0035,,185.4603109,4.4817071,0.87857145,t17_f5_c3,0.9998169,14.717,0.0038,473120121,False,True,False,,bulk_1.0.0,0.0,1241201462115015004
ztf,58992.234270799905,1238234272115015007,2,1238234272115,20.53267,1,1238,0.8309154,14.496803,14.487934,,14.4897,,0.024608968,0.024392357,0.024408767,0.0033,,185.4603204,4.4817036,0.86285716,t17_f5_c3,0.99938583,14.4795,0.0036,473120221,False,True,False,,bulk_1.0.0,0.0,1241201462115015004
ztf,58995.20146990009,1241201462115015004,1,1241201462115,20.704535,1,1241,0.8697697,14.841483,14.830485,,14.8228,,0.023110015,0.022856634,0.022877103,0.0038,,185.4603147,4.4817109,0.85142857,t17_f5_c3,0.9925908,14.8148,0.0042,473120121,False,True,False,,bulk_1.0.0,0.0,1266197782115015003
ztf,58995.22942129988,1241229422115015002,2,1241229422115,20.443113,1,1241,0.8386534,14.55462,14.545268,,14.5396,,0.021523014,0.021317558,0.021338424,0.0034,,185.4603294,4.4817009,0.8414286,t17_f5_c3,0.99977267,14.531,0.0038,473120221,False,True,False,,bulk_1.0.0,0.0,1266197782115015003
ztf,58998.19271990005,1244192712115015002,1,1244192712115,20.355753,1,1244,0.8457868,14.939107,14.92708,,14.9358,,0.028428115,0.028095048,0.028114945,0.0045,,185.4603173,4.4817143,0.8857143,t17_f5_c3,0.9953321,14.9248,0.0051,473120121,False,True,False,,bulk_1.0.0,0.0,1266197782115015003
ztf,58998.22516199993,1244225162115015004,2,1244225162115,20.383902,1,1244,0.8143303,14.561714,14.552301,,14.5579,,0.027782539,0.027526343,0.027542716,0.0036,,185.4603268,4.4817078,0.7728571,t17_f5_c3,0.9923763,14.5507,0.0041,473120221,False,True,False,,bulk_1.0.0,0.0,1266197782115015003
ztf,59005.186759300064,1251186752115015000,1,1251186752115,19.37479,1,1251,0.8333704,15.128067,15.113769,,15.1136,,0.025972247,0.025601663,0.025632452,0.0094,,185.4603253,4.4817083,0.9128571,t17_f5_c3,0.9999597,15.111,0.0116,473120121,False,True,False,,bulk_1.0.0,0.0,1266197782115015003
ztf,59009.23148149997,1255231482115015000,1,1255231482115,19.827896,1,1255,0.98472846,15.167967,15.153137,,15.1948,,0.02247811,0.022134889,0.02217317,0.0052,,185.4603075,4.4816691,0.68,t17_f5_c3,0.9919723,15.1721,0.0058,473120121,False,True,False,,bulk_1.0.0,0.0,1266197782115015003
ztf,59014.19987270003,1260199872115015005,1,1260199872115,20.522749,1,1260,0.9054803,15.28221,15.265747,,15.2817,,0.022350714,0.02196691,0.022014365,0.0052,,185.4603112,4.4816932,0.8471429,t17_f5_c3,0.9997716,15.2694,0.0059,473120121,False,True,False,,bulk_1.0.0,0.0,1266197782115015003
ztf,59017.23525460018,1263235252115015002,2,1263235252115,20.454422,1,1263,0.8425283,14.683713,14.673186,,14.6832,,0.025096498,0.024831675,0.024854347,0.0037,,185.460318,4.4817058,0.8685714,t17_f5_c3,0.9999217,14.6745,0.0042,473120221,False,True,False,,bulk_1.0.0,0.0,1266197782115015003
ztf,59020.197789399885,1266197782115015003,1,1266197782115,20.638649,1,1266,0.9340155,15.378882,15.360899,,15.3831,,0.030104471,0.02956792,0.029609945,0.0056,,185.4602999,4.4816967,0.82,t17_f5_c3,0.99928427,15.3689,0.0062,473120121,False,True,False,,bulk_1.0.0,0.0,1283212122115015000
ztf,59020.23638889985,1266236382115015001,2,1266236382115,20.327188,1,1266,0.8997733,14.713362,14.702545,,14.7371,,0.03884698,0.03844642,0.03846188,0.0041,,185.4603128,4.4816848,0.8542857,t17_f5_c3,0.9906356,14.7292,0.0046,473120221,False,True,False,,bulk_1.0.0,0.0,1283212122115015000
ztf,59023.21440970013,1269214402115015004,1,1269214402115,20.488947,1,1269,0.887562,15.444555,15.42546,,15.4401,,0.024331631,0.023848794,0.023907447,0.0062,,185.4603049,4.4817038,0.87285715,t17_f5_c3,0.9998434,15.4318,0.007,473120121,False,True,False,,bulk_1.0.0,0.0,1283212122115015000
ztf,59033.1761690001,1279176162115015002,2,1279176162115,19.30227,1,1279,0.90410286,14.977889,14.964107,,14.9839,,0.023369454,0.023032924,0.02307468,0.0071,,185.4603239,4.4816869,0.85142857,t17_f5_c3,0.99999684,14.9698,0.0086,473120221,False,True,False,,bulk_1.0.0,0.0,1283212122115015000
ztf,59033.19792820001,1279197922115015001,1,1279197922115,19.14086,1,1279,0.93193996,15.869689,15.841559,,15.8984,,0.024805067,0.02404564,0.024170665,0.0173,,185.4603135,4.4816828,0.93,t17_f5_c3,0.9999998,15.8887,0.0216,473120121,False,True,False,,bulk_1.0.0,0.0,1283212122115015000
ztf,59037.21212959988,1283212122115015000,1,1283212122115,18.69341,1,1283,1.0972846,16.27112,16.230639,,16.3156,,0.04095434,0.03929876,0.0394555,0.0222,,185.4603064,4.4816331,0.44142857,t17_f5_c3,0.9989674,16.2537,0.0265,473120121,True,True,False,,bulk_1.0.0,0.0,0
ztf,59176.516423599795,1422516422115015002,1,1422516422115,20.059864,1,1422,0.82390356,18.926958,18.532173,,18.8799,,0.10982689,0.07051618,0.076347485,0.12,,185.4603898,4.4816818,0.92285717,t17_f5_c3,0.9999852,18.7799,0.1394,473120121,False,True,False,,bulk_1.0.0,0.0,1449540522115015002
ztf,59176.56158560002,1422561582115015002,2,1422561582115,19.262516,1,1422,0.8795241,17.935883,17.742659,,18.0222,,0.078291245,0.06302587,0.065527536,0.1029,,185.4603616,4.4816904,0.93714285,t17_f5_c3,0.9999985,17.9922,0.1282,473120221,False,True,False,,bulk_1.0.0,0.0,1449540522115015002
ztf,59180.50350689981,1426503502115015000,1,1426503502115,19.2248,1,1426,0.850656,19.2006,18.714863,,19.1965,,0.241584,0.15051307,0.15444487,0.1644,,185.4604616,4.4816655,0.297143,t17_f5_c3,,19.1317,0.1981,,False,True,False,,bulk_1.0.0,0.0,1449540522115015002
ztf,59180.5613425998,1426561342115015001,2,1426561342115,19.099665,1,1426,0.9053919,17.975683,17.775871,,18.0212,,0.1222287,0.09998769,0.10168297,0.0882,,185.4603441,4.4816821,0.6614286,t17_f5_c3,0.99997985,18.0524,0.116,473120221,False,True,False,,bulk_1.0.0,0.0,1449540522115015002
ztf,59184.50668979995,1430506682115015000,2,1430506682115,19.46146,1,1430,0.78269964,18.132772,17.904915,,18.2896,,0.07362687,0.055938605,0.059688818,0.1335,,185.4603572,4.4817173,0.94142854,t17_f5_c3,0.99999976,18.4077,0.1907,473120221,False,True,False,,bulk_1.0.0,0.0,1449540522115015002
ztf,59188.51071760012,1434510712115015004,2,1434510712115,19.69501,1,1434,0.87201583,18.178476,17.941816,,18.3304,,0.07997018,0.060591888,0.064307906,0.111,,185.4603358,4.4816914,0.95714283,t17_f5_c3,0.9999999,18.2753,0.135,473120221,False,True,False,,bulk_1.0.0,0.0,1449540522115015002
ztf,59188.54197920021,1434541972115015000,1,1434541972115,19.664381,1,1434,0.83112866,18.891352,18.507298,,18.7277,,0.12515204,0.08307962,0.08786509,0.1513,,185.4603534,4.4816933,0.93,t17_f5_c3,0.9999807,18.6584,0.1818,473120121,False,True,False,,bulk_1.0.0,0.0,1449540522115015002
ztf,59194.516099500004,1440516092115015001,2,1440516092115,20.131962,1,1440,0.8540844,18.280867,18.023378,,18.2506,,0.06978642,0.04991382,0.055052355,0.0756,,185.460352,4.4816968,0.95857143,t17_f5_c3,0.9999989,18.2486,0.096,473120221,False,True,False,,bulk_1.0.0,0.0,1449540522115015002
ztf,59194.549050900154,1440549052115015005,1,1440549052115,20.373594,1,1440,0.9335015,19.131187,18.66998,,18.966,,0.0990837,0.055624332,0.06479163,0.1061,,185.4603353,4.48167,0.93857145,t17_f5_c3,0.9999991,18.9007,0.1271,473120121,False,True,False,,bulk_1.0.0,0.0,1449540522115015002
ztf,59198.48471060023,1444484712115015006,2,1444484712115,19.756233,1,1444,1.0249232,18.325745,18.058626,,18.3053,,0.08096861,0.05858794,0.063309565,0.0835,,185.4603587,4.4816491,0.83428574,t17_f5_c3,0.9997133,18.2106,0.0978,473120221,False,True,False,,bulk_1.0.0,0.0,1449540522115015002
ztf,59198.525879600085,1444525872115015004,1,1444525872115,20.200022,1,1444,0.80608857,19.072088,18.630972,,19.0208,,0.117436394,0.07135892,0.0782269,0.1151,,185.4603766,4.4816912,0.9114286,t17_f5_c3,0.9999983,19.0063,0.1444,473120121,False,True,False,,bulk_1.0.0,0.0,1449540522115015002
ztf,59200.448437499814,1446448432115015000,1,1446448432115,18.8605,1,1446,1.11841,18.9386,18.540253,,18.7741,,0.224043,0.15241054,0.15523602,0.327,,185.4602522,4.4816624,0.811429,t17_f5_c3,,18.6191,0.3633,,False,True,False,,bulk_1.0.0,0.0,1449540522115015002
ztf,59200.5254861,1446525482115015001,2,1446525482115,19.271433,1,1446,0.7913153,18.341509,18.070932,,18.3901,,0.119665526,0.0900578,0.09326928,0.1885,,185.4603555,4.4817147,0.8857143,t17_f5_c3,0.99999154,18.281,0.2185,473120221,False,True,False,,bulk_1.0.0,0.0,1449540522115015002
ztf,59203.4991088002,1449499102115015002,2,1449499102115,19.8851,1,1449,0.878508,18.5049,18.19611,,18.4052,,0.091222,0.06300912,0.068640985,0.0801,,185.4603801,4.4816932,0.741429,t17_f5_c3,,18.3076,0.0932,,False,True,False,,bulk_1.0.0,0.0,1449540522115015002
ztf,59203.54052079981,1449540522115015002,1,1449540522115,20.178465,1,1449,0.88148844,19.127617,18.667643,,19.1302,,0.11586072,0.06821904,0.075848445,0.1248,,185.4603912,4.4816678,0.89,t17_f5_c3,0.99983567,19.0799,0.1517,473120121,False,True,False,,bulk_1.0.0,0.0,1473378962115015003
ztf,59216.51509260014,1462515092115015006,2,1462515092115,19.175064,1,1462,0.6735976,18.619986,18.281551,,18.6505,,0.12355448,0.08553512,0.09046584,0.2385,,185.4603736,4.4817506,0.9342857,t17_f5_c3,0.9992285,18.6162,0.2968,473120221,False,True,False,,bulk_1.0.0,0.0,1473378962115015003
ztf,59221.44380789995,1467443802115015003,2,1467443802115,19.7287,1,1467,0.741543,18.6675,18.316135,,18.6586,,0.09659,0.062921144,0.06988539,0.1472,,185.4603247,4.4817285,0.945714,t17_f5_c3,,18.6106,0.1803,,False,True,False,,bulk_1.0.0,0.0,1473378962115015003
ztf,59221.47340280004,1467473402115015000,1,1467473402115,19.36,1,1467,1.15215,19.1794,18.701262,,19.0968,,0.150361,0.090559825,0.09680109,0.2666,,185.4603136,4.4816122,0.918571,t17_f5_c3,,19.1044,0.3441,,False,True,False,,bulk_1.0.0,0.0,1473378962115015003
