tid,mjd,fid,diffmaglim
ztf,58955.25254630018,2,20.4307
ztf,58955.29603009997,1,20.4009
ztf,58962.230682900175,1,20.6581
ztf,58962.27893520007,2,20.4083
ztf,58965.230474499986,1,20.6564
ztf,58965.2875926001,2,20.575
ztf,58967.24939810019,1,20.4868
ztf,58968.20413189987,2,20.5186
ztf,58968.27237269981,1,20.4741
ztf,58971.2105556,2,19.7455
ztf,58971.27512730006,1,19.6963
ztf,59175.50212959992,2,17.5045
ztf,59186.54259259999,1,18.719
ztf,59198.48471060023,2,19.7562
ztf,59198.525879600085,1,20.2
ztf,59216.53569439985,1,19.1354
ztf,59225.50393520016,2,18.2644
ztf,59229.467372700106,1,19.588
ztf,59234.449224499986,1,19.8426
ztf,59255.37789350003,1,20.9545
ztf,59270.400381899904,1,19.4417
ztf,59272.40667819977,1,18.7584
ztf,59272.44189810008,2,18.8874
ztf,59275.38327550003,2,19.4281
ztf,59275.443368100096,1,19.2148
ztf,59291.28912039986,1,20.4536
ztf,59296.3577430998,2,19.7091
ztf,59298.33375000022,1,19.2166
ztf,59298.37850689981,2,19.3442
ztf,59303.358900499996,1,19.0782
ztf,59305.277129599825,1,18.5985
ztf,59307.29723379994,1,20.6504
ztf,59311.23350689979,1,20.3337
ztf,59313.25564809982,1,20.5392
ztf,59313.29841439985,2,19.9282
ztf,59315.27634260012,1,18.7189
ztf,59317.25240739994,1,20.9465
ztf,59321.270937500056,1,20.8573
ztf,60388.33098379988,1,19.9652
ztf,60388.37329859985,2,19.8267
ztf,60390.359247699846,2,19.9022
ztf,60390.40282410011,1,19.6386
ztf,60392.40576389991,1,18.9274
ztf,60397.315787000116,1,19.4923
ztf,60397.413310199976,2,19.5091
ztf,60403.263981500175,2,20.4525
ztf,60403.33715280006,1,20.2803
ztf,60407.26584490016,2,20.4781
ztf,60407.32203700021,1,20.3723
ztf,60409.17237270018,2,20.9709
ztf,60409.23203699989,1,21.1587
ztf,60409.36285880022,3,20.7847
ztf,60410.272361100186,1,21.4333
ztf,60410.347071799915,2,21.25
ztf,60411.30214119982,2,21.2916
ztf,60411.32369210012,1,21.4418
ztf,61055.47831019992,1,20.2608
ztf,61055.50501159998,2,20.1126
ztf,61057.455590299796,1,19.851
ztf,61057.47370370012,2,19.6771
ztf,61059.451053199824,2,20.5188
ztf,61059.56081019994,1,20.4004
ztf,61061.454224499874,1,20.5169
ztf,61061.54388889996,2,19.8954
ztf,61069.4598495001,2,19.8568
ztf,61069.508483800106,1,20.216
ztf,61071.45319439983,1,19.3912
ztf,61071.50957180001,2,19.3602
ztf,61073.40274310019,1,19.0543
ztf,61073.47457179986,2,19.139
ztf,61078.44267359981,1,19.5958
ztf,61078.519270800054,2,19.6806
ztf,61079.45712959999,1,19.8117
ztf,61079.49936340004,2,19.7981
ztf,61080.385810200125,1,20.1701
ztf,61080.489467599895,2,20.1517
ztf,61081.44003470009,1,19.6431
ztf,61081.50093750004,2,19.8691
ztf,61085.44025459979,1,20.5666
ztf,61085.48819439998,2,20.4664
ztf,61093.55901619978,1,19.548
ztf,61094.38797450019,3,20.0867
ztf,61094.41724540014,2,20.3251
ztf,61094.44412040012,1,20.3505
ztf,61095.36762729986,1,20.5493
ztf,61095.4207870001,2,20.1598
ztf,61096.41769680008,1,20.2306
ztf,61096.441620400175,3,19.816
ztf,61096.47329859994,2,19.9656
ztf,61097.39822919993,1,20.0172
ztf,61097.4213657002,2,19.9187
ztf,61098.34223379986,2,20.0289
ztf,61099.28728009993,3,18.5497
ztf,61099.42740740022,2,19.8134
ztf,61099.497789400164,1,19.7986
ztf,61100.399166699965,1,19.3725
ztf,61100.46876160009,2,19.7426
ztf,61101.32946760021,1,19.1421
ztf,61101.37057870021,3,19.301
ztf,61101.41998839984,2,19.4503
ztf,61105.36702550016,3,18.6871
ztf,61105.40245370008,2,19.0462
ztf,61105.46027779998,1,19.2314
ztf,61106.23436339991,1,18.9194
ztf,61106.38682870008,3,19.1752
ztf,61106.441967600025,2,19.4942
ztf,61107.43775459984,1,19.3524
ztf,61107.46825229982,2,19.3958
ztf,61108.25497689983,1,20.0479
ztf,61108.4280208,2,19.8148
ztf,61110.3474653,3,20.2049
ztf,61110.398553200066,1,20.2773
ztf,61111.35791670019,1,20.502
ztf,61111.398912000004,3,19.8812
ztf,61111.44997690013,2,20.2616
ztf,61112.31972219981,2,20.165
ztf,61113.358622699976,2,17.7162
ztf,61113.41670140019,1,18.5946
ztf,61114.32125000004,3,20.1176
ztf,61114.357800900005,2,20.378
ztf,61114.41349539999,1,20.5153
ztf,61115.3121181,3,19.751
ztf,61115.3367130002,1,20.1719
ztf,61115.39898149995,2,20.0073
ztf,61116.325671299826,1,19.4441
ztf,61116.37004629988,2,18.6079
ztf,61116.39930560021,3,18.1829
ztf,61117.32193290023,3,20.1936
ztf,61117.38295139978,1,20.4676
ztf,61117.40226850007,2,20.2727
ztf,61118.31571759982,2,20.5868
ztf,61118.36287039984,1,20.4999
ztf,61119.34557869984,2,20.5123
ztf,61119.38394680014,1,20.4345
ztf,61120.330844900105,2,20.6073
ztf,61120.36063659983,1,20.6179
ztf,61121.2901504999,3,19.6041
ztf,61121.35459489981,1,19.9426
ztf,61121.401562499814,2,16.8547
ztf,61122.28903939994,3,19.7485
ztf,61122.32741900021,1,21.1329
ztf,61123.30876159994,2,20.5416
ztf,61123.35756940022,1,20.4667
ztf,61124.341597199906,1,20.6867
ztf,61124.373923600186,3,20.1492
ztf,61124.40518519981,2,20.6703
ztf,61125.23516200017,2,19.9567
ztf,61125.30579859996,3,18.9357
ztf,61125.35872690007,1,20.1104
ztf,61126.36071760021,1,20.1397
ztf,61126.40622689994,2,20.3196
ztf,61127.37151619978,2,19.9525
ztf,61129.2525231,1,19.1974
ztf,61129.36520829983,2,19.3948
ztf,61134.24968749983,3,18.9094
ztf,61134.31876160018,2,18.3345
ztf,61134.44098380022,1,18.6246
ztf,61135.31693289988,1,19.3602
ztf,61135.35791670019,3,19.5423
ztf,61135.39070599992,2,19.6253
ztf,61137.253923600074,1,20.6254
ztf,61137.31488429988,2,20.2287
ztf,61138.3630903,1,20.2919
ztf,61138.42393520009,2,19.9336
ztf,61139.205578700174,2,20.3616
ztf,61139.37917819992,1,19.6115
ztf,61140.256736100186,1,20.5781
ztf,61140.3020601999,2,20.3962
ztf,61146.17844909988,3,19.9107
ztf,61146.23951390013,2,20.3515
ztf,61146.33615740016,1,19.3537
ztf,61147.26712960005,3,19.9858
ztf,61147.296076400205,2,20.2006
ztf,61147.3634722,1,20.1666
ztf,61148.28608800005,2,20.4047
ztf,61148.32961810008,1,20.2449
ztf,61150.28062500013,2,20.4889
ztf,61150.31162039982,1,20.5219
ztf,61150.35234950017,3,19.8733
ztf,61151.34004630009,3,19.6663
ztf,61153.25523150014,2,19.9308
ztf,61153.31883100001,1,20.0336
ztf,61153.36173610017,3,19.8575
ztf,61154.31969910022,1,20.1431
